case,t,att_err_angle_E,att_err_angle_Q,tau_norm_E,tau_norm_Q,omega_norm_E,omega_norm_Q,eR_norm_E,eR_norm_Q,condE
NearSingularity_90deg,3.12,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.121,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.122,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.123,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.124,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.125,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.126,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1270000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.128,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.129,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.13,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1310000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.132,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.133,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.134,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1350000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.136,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.137,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.138,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1390000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
